code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
AND,repo,README.md,3,3,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L6
ANY,repo,README.md,2,2,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L147
AS,repo,README.md,3,3,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/docs/CUTFILE_atap_1p5.AI#L174
AT,repo,README.md,1,1,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/docs/CUTFILE_atap_1p5.AI#L148
FITNESS,repo,README.md,1,1,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L149
FOR,repo,README.md,2,2,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L6
IN,repo,README.md,1,1,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/docs/CUTFILE_atap_1p5.AI#L175
IS,repo,README.md,2,2,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L146
MADE,repo,README.md,2,2,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/docs/atap1p5_flat.stp#L1786
MERCHANTABILITY,repo,README.md,1,1,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L149
OF,repo,README.md,3,3,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L147
ON,repo,README.md,4,4,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/docs/CUTFILE_atap_1p5.pdf#L2
OR,repo,README.md,2,2,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L147
PARTICULAR,repo,README.md,1,1,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L150
PURPOSE,repo,README.md,1,1,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L150
USE,repo,README.md,1,1,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L6
WARRANTIES,repo,README.md,2,2,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L147
WITHOUT,repo,README.md,2,2,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/README.md,https://github.com/google/covid19-face-shield/blob/8843e7e92982b2a4fe0f4e70f951fd8a69321676/LICENSE#L147
