code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,doc_link,source_link
GCP,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/cmd/checker/main.go#L35
HEAD,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/CONTRIBUTING#L34
HTTP,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/gerrit/server.go#L92
RPC,repo,README.md,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/21e383346f2a75aba5c44ac9b7faa394b95a18af/server.go#L107
TODO,repo,README.md,.,.,.,0,0,0,1,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/cmd/checker/checker.go#L194
USE,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/LICENSE#L5
UUID,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,6,6,6,6,6,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/gerrit/types.go#L39
VERSION,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/build-deploy.sh#L5
auth_file,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/cmd/checker/main.go#L36
https://www.googleapis.com/auth/gerritcodereview,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,https://github.com/google/gerrit-linter/blob/c7e40dab207a95d69f58a42dcef4b89ae11d5ed1/README.md,https://github.com/google/gerrit-linter/blob/23e03f4bda144ef5734dd67966cce03fc9d227ef/cmd/checker/gcp.go#L62
