code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
zipfileset,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/jarjar/blob/75ee7c614bdbb7c6422c24f6815908d0d956432c/README.md,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/build.xml#L98
*,wiki,Command-Line-Docs.md,.,.,.,.,.,796,796,795,738,738,737,737,737,737,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/test/com/tonicsystems/jarjar/example/Example.java#L1
**,wiki,Command-Line-Docs.md,.,.,.,.,.,29,29,29,29,29,29,29,29,29,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/test/com/tonicsystems/jarjar/WildcardTest.java#L26
<cp1>,wiki,Command-Line-Docs.md,.,.,.,.,.,3,3,3,3,3,3,3,3,3,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L15
<cp2>,wiki,Command-Line-Docs.md,.,.,.,.,.,3,3,3,3,3,3,3,3,3,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L15
<inJar>,wiki,Command-Line-Docs.md,.,.,.,.,.,2,2,2,2,2,2,2,2,2,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L26
<outJar>,wiki,Command-Line-Docs.md,.,.,.,.,.,3,3,3,3,3,3,3,3,3,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L26
<pattern>,wiki,Command-Line-Docs.md,.,.,.,.,.,5,5,5,5,5,5,5,5,5,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L49
<result>,wiki,Command-Line-Docs.md,.,.,.,.,.,2,2,2,2,2,2,2,2,2,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L49
@0,wiki,Command-Line-Docs.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L65
@1,wiki,Command-Line-Docs.md,.,.,.,.,.,13,13,13,13,13,13,13,13,13,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/test/com/tonicsystems/jarjar/WildcardTest.java#L27
@2,wiki,Command-Line-Docs.md,.,.,.,.,.,2,2,2,2,2,2,2,2,2,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/test/com/tonicsystems/jarjar/WildcardTest.java#L35
bug_id,wiki,Command-Line-Docs.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L42
inJar,wiki,Command-Line-Docs.md,.,.,.,.,.,4,4,4,4,4,4,4,4,4,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/Main.java#L95
keep,wiki,Command-Line-Docs.md,.,.,.,.,.,10,10,10,10,10,10,10,10,10,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L51
outJar,wiki,Command-Line-Docs.md,.,.,.,.,.,5,5,5,5,5,5,5,5,5,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/Main.java#L95
rulesFile,wiki,Command-Line-Docs.md,.,.,.,.,.,11,11,11,11,11,11,11,11,11,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L26
view_bug,wiki,Command-Line-Docs.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L42
zap,wiki,Command-Line-Docs.md,.,.,.,.,.,10,10,10,10,10,10,10,10,10,https://github.com/google/jarjar/wiki/Command-Line-Docs/3a9674e15c8c887410d85e35c94a0c9055b27ce3,https://github.com/google/jarjar/blob/b176507568e47086d2d1166d76e26f42f3ff3a51/src/main/com/tonicsystems/jarjar/help.txt#L50
