code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
COUNT_LIMIT,repo,README.md,-,-,-,-,2,2,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L67
CUSTOM_LABEL_NR,repo,README.md,-,-,-,-,3,3,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L18
FILTER_CAMPAIGN_NAME,repo,README.md,-,-,-,-,2,2,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L54
NOTE,repo,README.md,-,-,-,-,1,1,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L8
SPREADSHEET_URL,repo,README.md,-,-,-,-,2,2,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L25
THRESHOLD,repo,README.md,-,-,-,-,5,5,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L36
TIME_DURATION,repo,README.md,-,-,-,-,2,2,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L61
USE_CAMPAIGN_FILTER,repo,README.md,-,-,-,-,2,2,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L53
custom_label,repo,README.md,-,-,-,-,1,1,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L16
custom_label4,repo,README.md,-,-,-,-,1,1,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/README.md,https://github.com/google/low_volume_skus/blob/5f81b6ea8fe4ad969c22f2957df9934a26cf18f3/low_volume_skus.js#L22
